gene,mutation_class,mean_delta,std_delta,n
TERT,radiation_oxidative,-0.0010501144636932836,0.0015123408833045621,2839
TERT,transition_CG_to_TA,-0.0006606205001253999,0.0011417127210306584,2988
TERT,transition_AT_to_GC,-0.0009575389469411222,0.0014923369437120255,1399
TERT,other_transversion,-0.001169447938716689,0.0016064905919599237,5504
ATM,radiation_oxidative,-0.0023379857976567266,0.003513716331172434,5146
ATM,transition_CG_to_TA,-0.001434104192202494,0.0029424681548457475,5475
ATM,transition_AT_to_GC,-0.0010927115969497918,0.0018706058928831082,7988
ATM,other_transversion,-0.0020284918440300072,0.0029239399658678596,19768
NFE2L2,radiation_oxidative,-0.001106718962546438,0.002395468256631653,2048
NFE2L2,transition_CG_to_TA,-0.0006743500290847406,0.0017585007526825542,2050
NFE2L2,transition_AT_to_GC,-0.0006723188713892995,0.0013641878663397675,2235
NFE2L2,other_transversion,-0.0010560843140047208,0.0020975994933694754,6505
CLOCK,radiation_oxidative,-0.001461022011046136,0.0023935743760387846,2387
CLOCK,transition_CG_to_TA,-0.0010640086496577544,0.0021284181209294296,2380
CLOCK,transition_AT_to_GC,-0.0008689230150795627,0.0014671186290138832,2667
CLOCK,other_transversion,-0.0014073832564849397,0.002201182152997985,7709
MSTN,radiation_oxidative,-0.0014722836441382005,0.0030228968991899887,1294
MSTN,transition_CG_to_TA,-0.0009633778793288083,0.0024585350258177255,1302
MSTN,transition_AT_to_GC,-0.0006615881018286529,0.001207188812655075,2343
MSTN,other_transversion,-0.001122681888903006,0.0022708057948971207,5970
RAD51,radiation_oxidative,-0.0009972250034034503,0.0019503525114662973,1896
RAD51,transition_CG_to_TA,-0.0005957173454101308,0.001219339201494885,1914
RAD51,transition_AT_to_GC,-0.0006564968399934775,0.0011810120459674798,1643
RAD51,other_transversion,-0.000977800729127612,0.0016578963423483674,5169
BRCA1,radiation_oxidative,-0.0010505500446192613,0.0019960708375778465,4026
BRCA1,transition_CG_to_TA,-0.0005394128916344735,0.001447505550398392,4348
BRCA1,transition_AT_to_GC,-0.0005492811061802651,0.001283173991616791,4998
BRCA1,other_transversion,-0.001012346431331898,0.001886562868156255,13466
TP53,radiation_oxidative,-0.001007682328029788,0.0019107409277443162,2085
TP53,transition_CG_to_TA,-0.0006014393792851823,0.0015072286157582029,2243
TP53,transition_AT_to_GC,-0.0005651191244789748,0.0013806753604245184,1823
TP53,other_transversion,-0.0009042841740244091,0.0017579055265826641,5597
CHEK2,radiation_oxidative,-0.0012177752940010686,0.0019508098851320308,2110
CHEK2,transition_CG_to_TA,-0.0007344891273959256,0.001503995680866688,2219
CHEK2,transition_AT_to_GC,-0.0006759539879036274,0.001277295102595855,2356
CHEK2,other_transversion,-0.0011052371692686618,0.0016970744242226126,6544
DNMT3A,radiation_oxidative,-0.0013593418952350265,0.0020247512303623377,3211
DNMT3A,transition_CG_to_TA,-0.00087172797536373,0.0016652104779090644,3299
DNMT3A,transition_AT_to_GC,-0.0009251311314906774,0.0014822814533835202,2099
DNMT3A,other_transversion,-0.0013103940112740328,0.0020819794536159064,7366
