pearson_r,pearson_p,n_shared,gene,window_small,window_large
0.9238864595602013,0.0,2676,BRCA1,4096,8192
0.9606409903596467,0.0,2676,BRCA1,8192,16384
0.9836504993179316,0.0,2676,BRCA1,16384,32768
0.9468605972155867,0.0,839,TP53,4096,8192
0.9854402317344231,0.0,839,TP53,8192,16384
0.9977354373600221,0.0,839,TP53,16384,32768
0.9867032492945725,0.0,689,CHEK2,4096,8192
0.9340584451177226,1.97843832518088e-309,689,CHEK2,8192,16384
0.9931988809682413,0.0,689,CHEK2,16384,32768
